Mx,My,Mz,Dx,Dy,Dz,Entrenamiento
-1.16944,9.10499,-1.02332,8.40207,9.33674,2.33678,Correr
-1.1871,7.00293,-0.42561,8.06507,9.8397,4.53503,Correr
0.21967,8.91572,-1.87307,9.1456,8.9351,3.99544,Correr
-2.44627,9.05693,-0.48788,8.83062,8.41509,4.13217,Correr
0.94095,9.03192,-0.9939,8.64782,9.06012,3.24001,Correr
-0.38442,8.69654,-1.81129,8.71194,7.70863,4.82248,Correr
1.95643,8.24985,-2.63309,9.55164,8.86486,3.50455,Correr
1.23858,8.09049,-2.87531,10.31137,8.95212,4.24387,Correr
2.18492,9.22757,-1.77206,9.53457,11.13324,4.25006,Correr
2.11137,8.35772,-2.60661,6.50288,9.15353,4.46095,Correr
0.97625,8.92454,-2.62132,8.19842,8.16836,5.31125,Correr
1.8971,8.35527,-2.39086,8.93218,11.12906,4.77393,Correr
1.90837,8.0998,-3.36417,9.33318,10.59591,5.46044,Correr
1.46855,8.84217,-3.3274,9.90448,8.23972,5.51434,Correr
2.54041,8.24788,-3.87019,9.38433,9.86665,5.8956,Correr
0.87868,8.8103,-4.22569,9.22705,8.58467,5.75037,Correr
0.93065,9.02163,-5.04944,9.15484,10.03277,6.01046,Correr
1.97849,10.2759,-3.65494,9.19666,7.88738,5.75255,Correr
2.23494,8.36017,-2.85717,8.75567,10.06208,5.85144,Correr
2.39576,8.36164,-3.34652,8.96814,9.74281,5.64391,Correr
0.80316,8.95641,-3.02829,8.26427,8.24835,5.24046,Correr
1.88729,9.5203,-3.29602,8.87574,9.57097,5.50485,Correr
1.77108,8.39008,-4.34729,8.89165,10.33458,6.39507,Correr
3.18765,8.12971,-4.19529,9.44455,11.20894,5.38607,Correr
0.86838,7.00489,-3.50833,8.79583,9.65321,5.60726,Correr
1.52346,8.75292,-4.41937,9.73214,9.70938,6.633,Correr
1.95986,8.50188,-2.76548,9.37592,9.9612,5.61189,Correr
1.74902,8.85246,-2.72968,9.53795,8.60056,6.23592,Correr
1.11158,8.90248,-3.37888,8.99574,8.52426,5.87701,Correr
2.82334,10.32003,-3.2053,9.45316,8.41538,6.09842,Correr
2.67869,7.46286,-4.4581,9.42441,11.1534,6.96819,Correr
0.73109,7.54475,-4.27423,10.86815,9.81798,6.96336,Correr
2.56934,10.65394,-4.9553,10.089,8.55785,5.17768,Correr
1.26015,7.96153,-4.86753,8.7025,11.16921,6.18745,Correr
-0.37756,7.50797,-3.01947,10.5825,9.53906,4.6646,Correr
1.94809,11.18841,-3.08321,8.68377,7.82144,5.50774,Correr
-0.15789,10.35975,1.29595,3.07281,2.82938,1.17793,Andar
0.30597,9.73997,0.28047,1.69379,2.87793,0.74863,Andar
-0.81787,9.99494,0.66489,1.9,2.83818,0.85372,Andar
-0.37609,11.26343,1.06059,1.71834,3.51519,0.90004,Andar
0.22359,9.39183,0.64773,1.24707,2.92607,0.93396,Andar
0.15298,11.0212,0.75413,1.5615,2.7522,0.87124,Andar
-0.93212,9.83558,0.9179,1.52237,2.79573,0.85694,Andar
-0.16475,9.76546,0.39227,1.84586,2.97362,0.87767,Andar
0.01765,10.40044,0.50455,1.28932,2.70272,0.67168,Andar
-0.78747,9.45214,0.60066,1.73082,2.7586,0.93117,Andar
0.64822,10.29845,0.62125,2.02553,2.72834,1.02472,Andar
0.49131,9.99003,0.56241,1.51445,2.50987,1.01849,Andar
-0.39227,10.32689,1.03166,1.77667,2.85022,0.97041,Andar
-0.19858,9.51736,0.55064,1.69574,2.67663,0.98172,Andar
-0.19221,11.63167,0.76541,2.13304,2.44841,1.07072,Andar
-0.43836,10.19156,0.4918,1.58502,2.63093,1.0441,Andar
-1.12237,9.85078,0.60703,2.37121,2.80291,2.20143,Andar
-0.52613,10.64463,-0.13288,2.42079,3.16045,1.55214,Andar
-1.22191,11.03101,0.41874,2.04279,3.59718,2.37686,Andar
-1.44403,8.91376,-0.03236,1.9981,2.89905,1.70674,Andar
-0.19466,10.2911,0.6036,1.91339,2.68898,2.01873,Andar
0.02991,10.75741,1.17778,2.44353,3.71392,2.45021,Andar
-0.68647,9.32122,0.88995,1.86892,2.44263,1.59518,Andar
-0.36187,9.98562,0.23928,1.80535,3.22847,1.77384,Andar
-0.14857,10.0273,0.79483,2.15172,2.21685,2.92695,Andar
-0.11131,10.4485,0.30204,2.35341,3.04873,2.03706,Andar
0.31038,10.093,0.2128,2.68303,3.2881,2.14776,Andar
0.14269,10.8996,0.57222,2.02027,2.94368,2.074,Andar
-0.19221,9.88461,0.38736,2.15847,2.40704,2.36578,Andar
0.37167,10.32689,0.32117,1.86867,2.33709,1.44367,Andar
-0.22163,10.47595,0.43198,2.20291,2.03124,1.54006,Andar
-0.8164,9.6571,0.14073,2.49683,3.086,2.10317,Andar
0.15053,9.76791,0.27262,2.83158,3.15167,2.23766,Andar
0.04511,10.14547,0.54035,2.99736,3.50073,2.36408,Andar
0.41825,10.70739,0.88015,2.41739,2.75829,2.16277,Andar
-0.57663,9.72378,-0.0505,2.2434,2.88606,2.35228,Andar
0.2432,10.16852,0.26282,1.92295,3.45603,1.94116,Andar
0.50406,10.30728,0.5732,2.06052,2.73186,2.23727,Andar
-0.27802,9.29719,0.96988,2.27485,3.02707,1.5456,Andar
0.1368,10.45144,0.73011,2.01367,3.51607,2.25286,Andar
-0.2638,9.39575,0.46091,2.60875,2.61099,2.0185,Andar
-0.3702,9.65318,-0.20153,1.61696,2.71023,1.66421,Andar
-0.31185,10.69072,0.61292,2.06459,3.24199,1.70841,Andar
-0.05247,10.80301,0.48347,1.82729,1.96928,1.83422,Andar
-2.6983,-9.46565,0.5115,1.74017,3.80608,2.34337,Andar
-3.41665,-7.80485,0.1551,2.04228,4.58775,2.28214,Andar
-4.22695,-9.63805,-0.3008,2.30542,4.80539,2.73352,Andar
-4.27855,-9.3928,-0.7029,2.14961,4.90244,1.8499,Andar
-4.12535,-9.1055,-1.6147,2.13884,5.05116,3.77025,Andar
-4.8685,-9.47895,-0.2356,2.73838,4.85942,3.49522,Andar
-5.22485,-7.64015,0.37155,3.09177,4.0863,3.00143,Andar
-5.52355,-8.77605,0.2067,3.19442,6.36689,1.73111,Andar
-5.07345,-8.67465,-0.46345,2.80779,6.04638,2.9045,Andar
-4.8168,-7.0484,0.7738,3.03484,4.5886,3.20197,Andar
-5.5332,-8.60365,-0.8752,3.33579,4.59728,3.56417,Andar
-5.311,-6.94105,0.9192,2.76356,4.76472,2.74248,Andar
-5.52555,-8.26655,-0.1535,2.66901,5.0883,2.61227,Andar
-5.5007,-7.8279,0.0364,2.62116,4.65762,2.27882,Andar
-5.7688,-8.3393,-0.0173,2.7846,4.19493,2.68593,Andar
-6.27635,-8.3105,0.44805,2.52905,4.29474,3.09374,Andar
-5.0754,-7.47345,0.1397,2.41795,4.64704,3.29275,Andar
-5.9143,-7.3453,-0.201,2.22239,4.7139,2.11169,Andar
-5.8185,-7.57135,0.0039,2.36605,4.8177,2.38866,Andar
-5.89515,-6.42595,1.21415,2.80963,4.68301,3.22512,Andar
-6.05415,-7.6899,0.08245,2.61834,4.49281,2.8698,Andar
-6.08875,-7.1499,0.31985,2.60666,4.36627,2.80897,Andar
-6.05605,-7.5903,0.5324,2.81029,3.84653,3.58416,Andar
-5.6615,-7.5885,0.45965,2.40496,4.68111,3.04612,Andar
-6.19585,-7.63825,-0.47695,3.13731,4.37285,2.524,Andar
-5.99675,-6.77245,-0.0249,3.10577,3.9935,2.93583,Andar
-6.60015,-7.3681,-0.03255,2.91588,4.89868,2.89236,Andar
-6.64995,-8.62675,1.467,2.70712,5.7051,2.67454,Andar
-6.20935,-7.29925,-0.4442,2.47216,4.14852,2.39351,Andar
-6.6212,-7.7053,-0.7872,2.44138,4.46798,2.28722,Andar
-7.04065,-8.7625,-0.1801,2.70295,4.65119,3.39779,Andar
-4.9871,-8.8507,-1.02845,1.65356,3.96914,2.47593,Andar
-6.5139,-8.10185,-0.1073,3.27389,5.16892,2.74628,Andar
-6.4948,-8.4696,-0.45975,2.69467,4.57143,3.62511,Andar
-5.8398,-8.0558,-0.13595,2.5215,4.34959,2.94463,Andar
-6.6844,-8.0922,-0.38495,3.25014,4.98828,3.0633,Andar
-5.493,-6.23245,-0.11875,2.88982,4.1473,2.93886,Andar
-6.4219,-9.1074,-1.3482,2.63725,3.6487,2.27903,Andar
-6.18065,-10.1283,-2.84605,1.84751,3.4927,3.02846,Andar
-7.07895,-7.2513,2.60455,2.76593,4.31934,1.72685,Andar
-5.2936,-6.0063,-0.387,1.73938,4.11814,1.6947,Andar
-6.0119,-7.2973,-0.18195,2.58552,4.26953,3.39219,Andar
-7.97145,-7.4505,-0.4002,2.47895,2.35944,2.46252,Andar
-5.6749,-6.49655,1.17,2.43882,4.63894,3.00077,Andar
-6.3242,-7.48695,0.6875,2.95071,4.14308,2.73939,Andar
-6.1787,-8.43705,-0.8906,2.94938,4.83638,3.11646,Andar
-6.7725,-8.21285,0.53435,2.79765,4.75227,3.00262,Andar
-6.30905,-6.40455,-0.4253,2.80173,3.63037,2.15926,Andar
-7.88905,-5.9948,3.60625,3.5363,3.46901,1.85435,Andar
-4.29385,-3.35725,1.189,1.25274,4.05424,1.0574,Andar
-7.87195,-10.5822,-3.66765,2.57702,2.9283,2.31268,Andar
-9.05955,-9.28545,-1.7103,1.87641,3.31672,2.5021,Andar
-6.54645,-6.33775,1.5302,3.05032,4.66325,2.66629,Andar
-7.2226,-8.87945,-0.1282,2.4508,4.40686,3.10334,Andar
-6.8414,-7.32995,-0.7602,1.90729,3.24227,1.46968,Andar
-7.2206,-6.671,1.7294,3.14084,4.12414,2.6808,Andar
-6.5023,-6.9563,-0.7163,2.37867,4.40889,2.58031,Andar
-6.81845,-7.5348,-0.63005,3.0568,3.71894,1.88508,Andar
-5.9086,-4.73635,1.7925,2.5318,2.7443,1.56022,Andar
-6.3397,-5.52185,1.5512,3.28181,3.0417,1.55646,Andar
-7.38535,-7.49255,1.0361,3.08672,3.38504,2.19846,Andar
-6.71115,-5.3493,-0.02095,1.67966,0.69722,0.56654,Andar
-6.05605,-5.74765,-0.32555,2.64236,1.09879,0.69983,Andar
-5.51225,-5.4163,0.13395,2.57942,1.04078,0.49536,Andar
-8.03285,-8.4215,-1.5321,2.30464,2.53901,2.33211,Andar
-6.22465,-4.6676,1.6431,3.31481,5.02906,2.61868,Andar
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
4.55568,8.86521,0.98851,2.01027,3.79359,2.1414,SubirEscaleras
1.00224,10.26364,1.27192,3.0907,4.19435,3.67942,SubirEscaleras
3.45586,8.35576,0.66538,2.77035,3.24932,4.17668,SubirEscaleras
3.76575,9.40801,0.42953,2.84218,5.05563,2.78601,SubirEscaleras
4.55568,8.86521,0.98851,2.01027,3.79359,2.1414,SubirEscaleras
4.70964,8.83138,0.04854,2.82178,3.98672,2.22358,SubirEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.05008,8.80049,0.70951,3.47726,3.14472,3.00953,BajarEscaleras
2.26092,8.45481,1.19592,2.56583,3.64052,1.95729,BajarEscaleras
2.05008,8.80049,0.70951,3.47726,3.14472,3.00953,BajarEscaleras
1.01891,9.05448,2.0187,2.14572,4.27468,4.07551,BajarEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
3.42255,9.0844,0.8503,1.8261,2.34668,2.20576,SubirEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
3.42255,9.0844,0.8503,1.8261,2.34668,2.20576,SubirEscaleras
3.96435,9.2875,0.54395,2.2512,2.45769,1.99542,SubirEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
3.42255,9.0844,0.8503,1.8261,2.34668,2.20576,SubirEscaleras
3.96435,9.2875,0.54395,2.2512,2.45769,1.99542,SubirEscaleras
3.36115,9.29515,0.6933,2.85696,3.35575,3.19813,SubirEscaleras
4.2614,10.7126,0.51525,2.88524,2.76377,2.80691,SubirEscaleras
3.42255,9.0844,0.8503,1.8261,2.34668,2.20576,SubirEscaleras
3.96435,9.2875,0.54395,2.2512,2.45769,1.99542,SubirEscaleras
3.36115,9.29515,0.6933,2.85696,3.35575,3.19813,SubirEscaleras
4.79965,9.21085,0.44235,3.49278,2.69204,2.39133,SubirEscaleras
2.75605,9.3583,0.5669,3.61705,2.75672,2.33329,BajarEscaleras
2.75605,9.3583,0.5669,3.61705,2.75672,2.33329,BajarEscaleras
2.2598,8.57495,0.72,1.3663,2.09735,1.59572,BajarEscaleras
2.75605,9.3583,0.5669,3.61705,2.75672,2.33329,BajarEscaleras
2.2598,8.57495,0.72,1.3663,2.09735,1.59572,BajarEscaleras
2.96855,8.98855,0.36195,2.85797,2.66608,1.90293,BajarEscaleras
2.75605,9.3583,0.5669,3.61705,2.75672,2.33329,BajarEscaleras
2.2598,8.57495,0.72,1.3663,2.09735,1.59572,BajarEscaleras
2.96855,8.98855,0.36195,2.85797,2.66608,1.90293,BajarEscaleras
2.29605,8.9273,1.12025,2.25268,3.24283,1.8814,BajarEscaleras
0.6258,9.22308,1.82118,3.02112,4.67895,3.692,SubirEscaleras
0.68307,9.81759,1.36544,2.62937,4.61457,3.04212,SubirEscaleras
0.19426,9.72445,1.34952,1.53179,1.47008,1.27796,SubirEscaleras
0.89719,9.54005,2.37001,1.51032,3.20062,2.89515,SubirEscaleras
1.10998,9.66177,2.2471,1.53264,3.18869,2.75367,SubirEscaleras
1.1355,9.63762,2.24695,1.31952,3.35798,2.6677,SubirEscaleras
1.01383,9.69478,1.38096,2.13977,4.37426,2.42895,SubirEscaleras
1.05044,9.59657,2.1275,1.56861,3.61264,2.46886,SubirEscaleras
1.08154,9.41616,2.25203,1.1526,3.18513,2.63977,SubirEscaleras
1.19178,9.60692,2.29826,1.17346,3.32703,2.69246,SubirEscaleras
1.17182,9.50309,2.24883,1.17876,3.32758,2.57858,SubirEscaleras
1.12777,9.6872,2.08167,1.63956,3.74665,2.79603,SubirEscaleras
1.21844,9.51708,2.30003,1.19408,3.20498,2.53086,SubirEscaleras
1.58789,9.25136,2.49651,1.59067,4.46203,1.79424,BajarEscaleras
1.64924,9.22998,2.20226,1.82796,4.59852,1.74326,BajarEscaleras
1.83202,9.33371,2.71792,1.50488,4.23265,1.48923,BajarEscaleras
1.75041,9.21165,2.77632,1.75932,4.32532,1.67862,BajarEscaleras
1.77215,8.99147,2.77533,1.59412,4.09163,1.68232,BajarEscaleras
1.54457,9.37368,1.94497,2.14306,4.53034,2.179,BajarEscaleras
1.66215,9.22234,2.26292,1.94817,4.69915,1.80049,BajarEscaleras
1.82369,9.31627,2.44102,2.07689,4.38562,1.73957,BajarEscaleras
1.65456,9.15764,2.4453,2.0896,4.29531,1.83953,BajarEscaleras
1.68196,9.35954,2.24863,1.98007,4.07762,1.85047,BajarEscaleras
2.67889,9.09441,2.33837,2.04546,3.73388,3.39353,SubirEscaleras
2.4967,9.29178,2.18476,1.87301,3.3292,3.37805,SubirEscaleras
2.50291,9.2932,2.07349,1.74644,3.85246,3.05377,SubirEscaleras
2.18713,9.35466,1.88455,2.0652,3.98074,3.11823,SubirEscaleras
2.02801,9.58987,2.07561,1.46141,3.49989,2.88466,SubirEscaleras
2.05245,9.45297,2.13923,1.39134,3.50194,2.67408,SubirEscaleras
2.07541,9.15212,2.26268,1.2152,3.29369,2.55136,SubirEscaleras
2.22769,9.29168,2.20945,1.16567,3.11061,2.52136,SubirEscaleras
